location-long,location-lat,date,is_foraging,nflh,chl,a_412,bb_412,pic,kd_490,rrs_412,sst
-90.905,28.054,2014-07-10,1,0.0733199119567871,0.6022015810012817,0.088900089263916,0.0058249980211257,4.199892282485962e-05,0.0769999995827674,0.0033139996230602,29.899999618530273
-91.15092187,26.70778019,2014-07-11,1,0.0495200157165527,0.4530730545520782,0.07420015335083,0.0056599974632263,1.9997358322143555e-05,0.0678000003099441,0.0028479993343353,31.594999313354492
-91.19431405,26.69305808,2014-07-12,1,0.0643949508666992,0.458961546421051,0.0728001594543457,0.0056049972772598,1.3999640941619871e-05,0.0665999948978424,0.0022459998726844,31.674999237060547
-91.43455141,26.71866168,2014-07-13,1,0.0574250221252441,0.5445932745933533,0.0952999591827392,0.0053300112485885,2.7999281883239743e-05,0.0736000016331672,0.0027120001614093,31.32499885559082
-91.66721037,26.87850168,2014-07-14,1,0.0673699378967285,0.5159264206886292,0.0694999694824218,0.0060750097036361,0.0001539960503578,0.0725999996066093,0.0046560019254684,30.024999618530273
-91.77600123,26.9982775,2014-07-15,1,0.0612499713897705,0.1786347925662994,0.0382001399993896,0.0056100040674209,0.0001179948449134,0.0439999997615814,0.0084180012345314,30.07499885559082
-91.78230749,26.97703761,2014-07-16,1,0.0612499713897705,0.1786347925662994,0.0382001399993896,0.0056100040674209,0.0001179948449134,0.0439999997615814,0.0084180012345314,30.07499885559082
-91.98808318,26.91863085,2014-07-17,1,0.0462899208068847,0.0953352749347686,0.02590012550354,0.0053050071001052,8.599460124969482e-05,0.0331999994814395,0.0103720016777515,30.189998626708984
-91.4822468,27.1560278,2014-07-18,1,0.0949099063873291,0.3833885192871094,0.0559000968933105,0.0057350099086761,0.0001179948449134,0.0631999969482421,0.0056640021502971,30.28999900817871
-91.12396945,27.21801619,2014-07-19,1,0.1102099418640136,0.2820563018321991,0.059499979019165,0.0058200061321258,0.0001379996538162,0.0551999993622303,0.00501000136137,30.1299991607666
-90.36064517,27.26480553,2014-07-20,1,0.0773150920867919,0.779656708240509,0.124500036239624,0.0056900084018707,5.399435758590698e-05,0.0872000008821487,0.0022880025207996,30.260000228881836
-89.65288769,27.34955055,2014-07-21,1,0.0445051193237304,0.8530458211898804,0.1145999431610107,0.0049650073051452,9.998679161071776e-06,0.1027999967336654,0.002530001103878,29.979999542236328
-89.25734269,27.52115176,2014-07-22,1,0.0687301158905029,0.9915971755981444,0.1230001449584961,0.0054450035095214,1.800060272216797e-05,0.1045999974012374,0.0023199990391731,30.420000076293945
-88.70203633,27.6354549,2014-07-23,1,0.0422949790954589,0.2799313068389892,0.0621001720428466,0.0053050071001052,4.599988460540772e-05,0.0526000000536441,0.0045880004763603,29.639999389648438
-88.37979903,27.65720727,2014-07-24,1,0.0497751235961914,0.1399756222963333,0.0306999683380126,0.0050300061702728,5.799531936645508e-05,0.0394000001251697,0.008432000875473,29.599998474121094
-88.459974,27.58108209,2014-07-25,1,0.043144941329956,0.1407073587179184,0.0311000347137451,0.0051500052213668,7.399916648864746e-05,0.0405999980866909,0.0085819996893405,29.510000228881836
-88.22888106,27.6939221,2014-07-26,1,0.0464599132537841,0.1478713750839233,0.031599998474121,0.0051449984312057,0.000121995806694,0.0405999980866909,0.0082220025360584,29.89499855041504
-88.17547349,27.67963752,2014-07-27,1,0.0464599132537841,0.1478713750839233,0.031599998474121,0.0051449984312057,0.000121995806694,0.0405999980866909,0.0082220025360584,29.89499855041504
-88.12336008,27.69861157,2014-07-28,1,0.0521550178527832,0.1581981182098388,0.0333001613616943,0.0053150057792663,0.0001579970121383,0.0425999984145164,0.0080620013177394,29.795000076293945
-88.24401494,27.65816549,2014-07-29,1,0.0515599250793457,0.1513165682554245,0.0324001312255859,0.0053649991750717,0.0001499950885772,0.0425999984145164,0.0083659999072551,29.96500015258789
-88.14502162,27.68889683,2014-07-30,1,0.0521550178527832,0.1581981182098388,0.0333001613616943,0.0053150057792663,0.0001579970121383,0.0425999984145164,0.0080620013177394,29.795000076293945
-88.02510471,27.78551247,2014-07-31,1,0.0593800544738769,0.1801089197397232,0.0369000434875488,0.0058349967002868,0.00016999989748,0.048200000077486,0.0081040002405643,29.119998931884766
-88.0321817,27.69172715,2014-08-01,1,0.0542800426483154,0.1710699051618576,0.0355000495910644,0.0055499970912933,0.0001639947295188,0.0455999970436096,0.0079180002212524,29.59000015258789
-87.4456835,28.30788126,2014-08-02,1,0.0371949672698974,0.1614698022603988,0.035099983215332,0.0055299997329711,9.99942421913147e-05,0.0438000001013278,0.007991999387741,29.96500015258789
-86.98206824,28.79521494,2014-08-03,1,0.0338799953460693,0.4382055997848511,0.0837001800537109,0.004825010895729,9.998679161071776e-06,0.0631999969482421,0.0029220022261142,28.6299991607666
-86.86324266,29.26967399,2014-08-04,1,0.0469698905944824,0.681646466255188,0.112800121307373,0.0050449967384338,9.998679161071776e-06,0.0811999961733818,0.0022439993917942,29.314998626708984
-86.60598556,29.78177559,2014-08-05,1,0.0432300567626953,0.4683708846569061,0.0806000232696533,0.0051999986171722,9.998679161071776e-06,0.0659999996423721,0.003404002636671,28.91499900817871
-86.95816138,29.31235575,2014-08-06,1,0.060230016708374,0.8628861308097839,0.1291000843048095,0.0051200091838836,9.998679161071776e-06,0.0925999954342842,0.0019860006868839,29.295000076293945
-86.6453797,29.08578622,2014-08-07,1,0.0398299694061279,0.4660890996456146,0.0852000713348388,0.0050000101327896,9.998679161071776e-06,0.065200001001358,0.0029520019888877,29.084999084472656
